ΑΦΜ,Επωνυμία,Διακριτικός Τίτλος,Νομική Μορφή,ΦΕΚ,ΦΕΚ Ανανέωσης,Διάρκεια Πιστοποίησης Έως,Ηλικιακή Ομάδα,Υπηρεσίες,Δομές
998263644,"ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ ΤΡΙΩΝ ΤΕΚΝΩΝ ΝΟΜΟΥ ΜΑΓΝΗΣΙΑΣ ","""ΑΡΓΩ""",-,Β' 7078,,30/12/2029,Γενικός Πληθυσμός,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,
998713672,"ΠΑΝΕΛΛΗΝΙΟΣ ΣΥΝΔΕΣΜΟΣ ΠΑΣΧΟΝΤΩΝ ΑΠΟ ΚΑΡΔΙΟΠΑΘΕΙΕΣ ",-,Σωματείο – Σύλλογος,Β' 7078,,30/12/2029,Γενικός Πληθυσμός,"Ενημέρωση/πληροφόρηση,Νομική βοήθεια,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Υλική βοήθεια (είδος και χρήμα)","ΠΑΝΕΛΛΗΝΙΟΣ ΣΥΝΔΕΣΜΟΣ ΠΑΣΧΟΝΤΩΝ ΑΠΟ ΚΑΡΔΙΟΠΑΘΕΙΕΣ "
998505489,ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ ΚΗΔΕΜΟΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΥΤΙΣΤΙΚΩΝ ΑΤΟΜΩΝ,ΑΓΙΟΣ ΑΡΣΕΝΙΟΣ Ο ΚΑΠΠΑΔΟΚΗΣ,-,Β' 7078,,30/12/2029,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Κατασκήνωση,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Σίτιση,Συμβουλευτική στήριξη,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη",
099644826,"ΙΔΡΥΜΑ ΑΓΑΠΗΣ -ΟΙΚΟΣ ΕΥΓΗΡΙΑΣ ""Η ΠΑΝΑΓΙΑ ΤΟΥ ΑΚΑΘΙΣΤΟΥ""",-,Ίδρυμα,Β' 7078,,30/12/2029,"Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Αιμοδοσία,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Εργοθεραπεία,Νομική βοήθεια,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΙΔΡΥΜΑ ΑΓΑΠΗΣ-ΟΙΚΟΣ ΕΥΓΗΡΙΑΣ ""Η ΠΑΝΑΓΙΑ ΤΟΥ ΑΚΑΘΙΣΤΟΥ"""
090220171,ΣΥΛΛΟΓΟΣ ΑΤΟΜΩΝ ΜΕ ΑΝΑΠΗΡΙΕΣ ΕΠΑΡΧΙΑΣ ΡΟΔΟΥ,-,Σωματείο – Σύλλογος,Β' 6303/24-11-2025,,24/11/2029,Γενικός Πληθυσμός,"Διαπολιτισμική διαμεσολάβηση,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών",
997582020,ΝΟΜΑΡΧΙΑΚΟΣ ΣΥΛΛΟΓΟΣ ΑΤΟΜΩΝ ΜΕ ΕΙΔΙΚΕΣ ΑΝΑΓΚΕΣ ΝΟΜΟΥ ΚΑΒΑΛΑΣ,-,Σωματείο – Σύλλογος,Β' 6303/24-11-2025,,24/11/2029,Γενικός Πληθυσμός,"Ενημέρωση/πληροφόρηση,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Ψυχολογική υποστήριξη",ΝΟΜΑΡΧΙΑΚΟΣ ΣΥΛΛΟΓΟΣ ΑΤΟΜΩΝ ΜΕ ΕΙΔΙΚΕΣ ΑΝΑΓΚΕΣ ΝΟΜΟΥ ΚΑΒΑΛΑΣ
996817361,ΑΚΑΔΗΜΙΑ ΕΘΕΛΟΝΤΙΣΜΟΥ ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΕΙΑ,HELPHELLAS,Αστική μη Κερδοσκοπική Εταιρεία,B' 4488,,20/08/2029,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Ψυχολογική υποστήριξη",
999960320,Κιβωτός του Κόσμου - Αστική μη Κερδοσκοπική Εταιρία Εθελοντική μη Κυβερνητική Οργάνωση,Κιβωτός του Κόσμου,Αστική μη Κερδοσκοπική Εταιρεία,Β΄4134,,30/07/2029,"Γενικός Πληθυσμός, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών","Εκπαίδευση εθελοντών,Επαγγελματικός προσανατολισμός,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Σίτιση,Συμβουλευτική στήριξη,Υλική βοήθεια (είδος και χρήμα),Φιλοξενία,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Ψυχολογική υποστήριξη","«Μονάδα Παιδικής Προστασίας και Φροντίδας Κιβωτός του Κόσμου-ΓΕΩΡΓΟΥΛΑ»,"" Μονάδα Παιδικής Προστασίας και Φροντίδας Κιβωτός του Κόσμου-Κωνσταντίνος Ι. ΚΑΡΕΛΛΙΑΣ "",Μονάδα Παιδικής Προστασίας και Φροντίδας Κιβωτός του Κόσμου Διμήνι Βόλου,ΠΑΙΔΙΚΟΣ ΣΤΑΘΜΟΣ - ΚΙΒΩΤΟΣ ΤΟΥ ΚΟΣΜΟΥ,ΚΔΑΠ - ΚΙΒΩΤΟΣ ΤΟΥ ΚΟΣΜΟΥ,ΚΙΒΩΤΟΣ ΤΟΥ ΚΟΣΜΟΥ - ΠΕΙΡΑΙΑΣ,ΚΕΝΤΡΙΚΑ ΓΡΑΦΕΙΑ - ΕΔΡΑ ΦΟΡΕΑ ,ΚΟΙΝΩΝΙΚΟ ΠΑΝΤΟΠΩΛΕΙΟ -ΚΙΒΩΤΟΣ ΤΟΥ ΚΟΣΜΟΥ"
099741651,(ΕΝΩΣΗ) ΣΥΛΛΟΓΟΣ ΔΙΑΒΗΤΙΚΩΝ  ΝΟΜΟΥ ΔΡΑΜΑΣ,ΕΝΩΣΗ) ΣΥΛΛΟΓΟΣ ΔΙΑΒΗΤΙΚΩΝ  ΝΟΜΟΥ ΔΡΑΜΑΣ,Σωματείο – Σύλλογος,Β'5476,,14/10/2029,Γενικός Πληθυσμός,Ενημέρωση/πληροφόρηση,
090318125,"Σύλλογος Ατόμων με Αναπηρίες Γονέων και Φίλων Ιεράπετρας ""Γεώργιος Σουργιαδάκης"" ",-,Σωματείο – Σύλλογος,Β' 7078,,30/12/2029,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Υλική βοήθεια (είδος και χρήμα),Ψυχολογική υποστήριξη","Σύλλογος Ατόμων με Αναπηρίες Γονέων και Φίλων Ιεράπετρας ""Γεώργιος Σουργιαδάκης"""
