ΑΦΜ,Επωνυμία,Διακριτικός Τίτλος,Διεύθυνση,Περιφέρεια,Περιφερειακή Ενότητα,Δήμος,Δημοτική Ενότητα,Τηλέφωνο 1,Τηλέφωνο 2,Email
090251694,"ΠΕΙΡΑΪΚΗ ΕΝΩΣΗ ΓΟΝΕΩΝ ΚΗΔΕΜΟΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΤΟΜΩΝ ΜΕ ΑΝΑΠΗΡΙΑ ",-,"ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ  3-5, ΤΚ:17778",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΤΑΥΡΟΥ,+302104223033,+306986524097,pekamea@gmail.com
999849180,ΚΙΝΗΣΗ ΠΟΛΙΤΩΝ ΕΛΛΑΔΟΣ,-,"ΛΑΚΩΝΙΑΣ  1Α, ΤΚ:12134",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΠΕΡΙΣΤΕΡΙΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΕΡΙΣΤΕΡΙΟΥ,2105786870,6945745548,khellas@khellas.gr
999354700,Πρότυπη Εταιρεία Ψυχικής Υγείας και Κοινωνικής Αρωγής,Π.Ε.Ψ.Υ. κ Κ.Α.,"ΛΕΩΦΟΡΟΣ ΔΗΜΟΚΡΑΤΙΑΣ  52, ΤΚ:35132",ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΦΘΙΩΤΙΔΑΣ,ΔΗΜΟΣ ΛΑΜΙΕΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΑΜΙΕΩΝ,2231036992,6972088102,info@pepsikka.gr
090062059,"ΟΙ ΦΙΛΟΙ ΤΟΥ ΠΑΙΔΙΟΥ ",-,"ΣΤΗΣΙΧΟΡΟΥ  15, ΤΚ:10674",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2107293404,6948276019,secretary@filoitoupediou.gr
099687353,ΣΥΛΛΟΓΟΣ ΕΘΕΛΟΝΤΩΝ ΑΙΜΟΔΟΤΩΝ ΚΑΡΠΑΘΟΥ,-,"ΠΗΓΑΔΙΑ -, ΤΚ:85700",ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΡΠΑΘΟΥ - ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΚΑΣΟΥ,ΔΗΜΟΣ ΚΑΡΠΑΘΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΡΠΑΘΟΥ,6945476814,6974642473,sea.karpathou@gmail.com
996902358,ΤΟ ΤΖΑΜΠΟΛ ΤΗΣ ΑΓΑΠΗΣ ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΕΙΑ,Τζάμπολ Αγάπης,"ΥΠΑΠΑΝΤΗΣ 124, ΤΚ:18546",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΕΙΡΑΙΩΣ,ΔΗΜΟΣ ΠΕΙΡΑΙΩΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΕΙΡΑΙΩΣ,2104186343,6944307959,info@tzampolagapis.gr
090072907,"ΣΥΛΛΟΓΟΣ ΓΟΝΙΩΝ ΠΑΙΔΙΩΝ ΜΕ ΝΕΟΠΛΑΣΜΑΤΙΚΗ ΑΣΘΕΝΕΙΑ ""Η ΦΛΟΓΑ""",-,"ΑΙΓΙΟΥ 6-8, ΤΚ:11527",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2107485000,6971665596,floga@floga.org.gr
998592335,ΠΑΝΕΛΛΗΝΙΑ ΟΜΟΣΠΟΝΔΙΑ ΚΟΙΝΩΝΙΚΩΝ ΣΥΝΕΤΑΙΡΙΣΜΩΝ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,-,"Μακεδονίας 8, ΤΚ:10433",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2130411053,6978055602,pokoispe@gmail.com
999162413,Δικαίωμα στη Ζωή,-,"ΚΑΛΕΣΑ -, ΤΚ:71500",ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΡΑΚΛΕΙΟΥ,ΔΗΜΟΣ ΜΑΛΕΒΙΖΙΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΓΑΖΙΟΥ,2810821600,6945901770,dikaiomastizoi@gmail.com
090136538,ΙΔΡΥΜΑ ΛΙΛΙΑΝ ΒΟΥΔΟΥΡΗ,ΚΟΙΝΩΦΕΛΕΣ ΙΔΡΥΜΑ,"ΝΙΚΗΣ 16, ΤΚ:10557",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,210 3224127,6977847441,lilian.voudouri@outlook.com
802773589,ΦΟΡΑΜΕ ΑΓΑΠΗ ΟΡΓΑΝΙΣΜΟΣ ΠΡΟΣΦΟΡΑΣ ΡΟΥΧΙΣΜΟΥ ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΕΙΑ,WEARING LOVE Α Μ Κ Ε,"ΑΡΧΑΙΑ ΚΟΡΙΝΘΟΣ -, ΤΚ:20007",ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΟΡΙΝΘΙΑΣ,ΔΗΜΟΣ ΚΟΡΙΝΘΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΡΙΝΘΙΩΝ,2741181010,6951413111,forameagapi@yahoo.com
999922338,"ΣΥΛΛΟΓΟΣ ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ ΓΙΑ ΑΤΟΜΑ ΜΕ ΣΥΓΓΕΝΕΙΣ ΚΑΡΔΙΟΠΑΘΕΙΕΣ ",ΠΑΙΔΙΚΕΣ ΚΑΡΔΙΕΣ,"ΙΣΜΗΝΗΣ & ΚΑΝΑΡΗ-ΠΛΑΤΕΙΑ ΤΖΟΥΜΑ -, ΤΚ:55132",ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,-,2310441942,6948303828,info@paidikeskardies.gr
996484090,ΣΥΜΜΕΤΟΧΗ ΚΑΙ ΜΕΘΕΞΙΣ ΑΜΚΕ,-,"ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ 40, ΤΚ:10673",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2103390050,6980826602,info@simmetoxi.gr
997419798,ΜΑΖΙ ΓΙΑ ΤΟ ΠΑΙΔΙ ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΕΙΑ,ΜΑΖΙ ΓΙΑΤΟ ΠΑΙΔΙ ΑΜΚΕ,"ΑΓΙΟΥ ΘΩΜΑ 14, ΤΚ:11527",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,210 7482690,6979889544,info@mazigiatopaidi.gr
090076851,Πανελλήνιος Αθλητικός Σύλλογος Κινητικά Αναπήρων (Π.Α.Σ.Κ.Α),-,"Σπύρου Θεολόγου  & Λεωφ. Φυλής 8η στάση  1, ΤΚ:13122",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΙΛΙΟΥ,-,"2102387157 ",6970008906,paska.athens@gmail.com
803019695,ΕΡΑΤΩ Μ.Φ.Η. ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΕΙΑ,-,"Ε.Ο. ΒΟΛΟΥ - ΝΕΟΧΩΡΙΟΥ -, ΤΚ:37300",ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΜΑΓΝΗΣΙΑΣ,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΜΗΛΕΩΝ,2428093996,6973387987,info@eratopelion.gr
